Nama Rumah Sakit,Kode Rumah Sakit,Jenis Rumah Sakit,URL,Tanggal Registrasi,Alamat,Kab/Kota,Kodepos,Telp,Kelas Rumah Sakit,Direktur,Penyelenggara,Update,Fax,Email,Humas,Website,Dokter Spesialis Anak,Dokter Spesialis Obstetri dan Ginekologi,Dokter Spesialis Penyakit Dalam,Dokter Spesialis Bedah,Dokter Spesialis Radiologi,Dokter Spesialis Rehabilitasi Medik,Dokter Spesialis Anestesiologi dan Terapi Intensif,Dokter Spesialis Jantung dan Pembuluh Darah,Dokter Spesialis Mata,Dokter Spesialis Telinga Hidung Tenggorokan,Dokter Spesialis Kedokteran Jiwa atau Psikiatri,Dokter Umum,Dokter GIGI,Dokter Spesialis GIGI,Perawat,Bidan,Farmasi,Tenaga Kesehatan Lainnya,Kamar VVIP,Kamar VIP,Kamar Kelas Satu,Kamar Kelas Dua,Kamar Kelas Tiga,Tenaga Kerja Non Kesehatan,Luas Tanah,Luas Bangunan,No Surat Izin,Tanggal Surat Izin,Surat Izin dari,Sifat Surat Izin
RS Cantia Tompasobaru,7105084,RSU,https://medicalclinic.id/rumah-sakit/daerah/minahasa-selatan/rs-cantia-tompasobaru.html,  31/12/2015," Jaga II (dua) desa Pinaesaan, Kecamatan Tompasobaru", Minahasa Selatan, 95357, 085242200024, D, dr. Indra K. Silaen, Organisasi Katholik, 22/06/2017, -, rscantia2014@gmail.com, 081524602366, -, 1,-, 3, 1, 1,-,-,-, 1,-,  0, 4,-,-, 10, 1, 1, 3, Ruang, 2 Ruang, 6 Ruang, 8 Ruang, 32 Ruang, 17, 8800 m2, 1723 m2, 852/DINKES/V/2014, 28/05/2014, DINKES.KABUPATEN, Tetap
RSU Lirboyo,3571146,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsu-lirboyo.html,  22/02/2012," Jl. Dr.Saharjo, Campurejo, Mojoroto, Kota Kediri", Kota Kediri, -, 0354 - 778165/F, Belum ditetapkan, Dr. Ava Adenia Rahmi, Perorangan, 22/06/2017,-, rsu.lirboyo@yahoo.com, -, -, 1,-, 1, 1,-,-, 1,-, 1,-,  0, 5, 1,-, 9, 5, 1, 3, Ruang, 3 Ruang, 6 Ruang, 6 Ruang, 24 Ruang, 6, 1579 m2," 947,5 m2", 445/556/419.18/2006, 00/00/0000," Dr. Bambang Giatno R,MPH",-
RSU Dharma Husada,3516034S,RSU,https://medicalclinic.id/rumah-sakit/daerah/mojokerto/rsu-dharma-husada.html,  01/04/2013, Jl. Raya Ngoro 192. Ngoro., Mojokerto, 61385, 0321-6817833, D, dr. Sylvia Melani, Perorangan, 22/06/2017, -, rs.dhusada.ngoro@gmail.com, 081330232703, -, 1,-, 1, 1, 1,-,-,-,-,-,  0, 5,-,-, 23, 11, 1, 6, Ruang, 6 Ruang, 10 Ruang, 16 Ruang, 21 Ruang, 16, 5237 m2, 982 m2, 440/0088/KES.5/416-207.2/2013, 05/02/2013, Badan Perijinan Terpadu dan Penanaman Mo, Perpanjang
Rumah Sakit Setiabudi,1275921,RS,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rumah-sakit-setiabudi.html,  22/05/2017, Jl. Mesjid No. 3 Tanjung Rejo Medan, Kota Medan, 20122, 061-8220996/, Belum Ditetapkan, dr. Muhammad Feby Antoni, Perusahaan, 22/06/2017,-, rs.setiabudimedan@yahoo.co.id, 081362333669,-,-,-,-,-,-,-, 2,-,-,-,  0,-,-,-,-,-, 1,-, 1 Ruang, 3 Ruang, 4 Ruang, 8 Ruang, Ruang,-, 1000 m2, 1960 m2, 440/62.01/IV/2012, 13/04/2012, DINAS KESEHATAN KOTA MEDAN, Perpanjang
RSU Dharma Husada,3516034S,,https://medicalclinic.id/rumah-sakit/daerah/mojokerto/rsu-dharma-husada.html,  01/04/2013, Jl. Raya Ngoro 192. Ngoro., Mojokerto, 61385, 0321-6817833, D, dr. Sylvia Melani, Perorangan, 22/06/2017, -, rs.dhusada.ngoro@gmail.com, 081330232703, -, 1,-, 1, 1, 1,-,-,-,-,-,  0, 5,-,-, 23, 11, 1, 6, Ruang, 6 Ruang, 10 Ruang, 16 Ruang, 21 Ruang, 16, 5237 m2, 982 m2, 440/0088/KES.5/416-207.2/2013, 05/02/2013, Badan Perijinan Terpadu dan Penanaman Mo, Perpanjang
RSUD Dr. Achmad Mochtar,1375014,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bukittinggi/rsud-dr.-achmad-mochtar.html,  30/11/1987, Jl. Dr. A.Rivai Bukittinggi, Kota Bukittinggi, 26114, 0752-21720, B," Dr. Khairul, Sp.M", Pemprop, 21/06/2017, 0752-21321, rsam@sumbarprov.go.id, 0752 33825, rsam-bkt.sumbarprov.go.id, 6,-, 5, 2, 1, 1, 2, 1, 3, 3,  1, 32, 3, 1, 294, 27, 9, 5, 26 Ruang, 16 Ruang, 38 Ruang, 69 Ruang, 155 Ruang, 218, 65000 m2, 27450 m2, 445-543-2013, 24/06/2013, GUBERNUR,-
RSUD Ciawi,3201050,RSU,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsud-ciawi.html,  02/12/2012, Jl. Raya Puncak 479 Ciawi Bogor, Bogor, 16720, 0251-8240797, B," drg. Hesti Iswandari, M.Kes", Pemkab, 21/06/2017, 0251-8242937, rsudciawi@gmail.com, 0251-8240797, rsudciawi.bogorkab.go.id, 3,-, 4, 2, 2, 1, 2, 2, 2, 2,  1, 50, 4, 2, 218, 64, 10, 55, Ruang, 10 Ruang, 41 Ruang, 42 Ruang, 156 Ruang, 124, 22161 m2, 29185 m2, 445.1/Kep.98/I.25.b/IPRSU-B-BPMPT/2015, 14/08/2015, Gubernur Jawa Barat, Tetap
RSUD Tugurejo Semarang,3374134,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-semarang/rsud-tugurejo-semarang.html,  31/12/1980," Jl. WALISONGO KM 8,5 Semarang", Kota Semarang, 50185, 024-7605378, B," Dr. Endro Suprayitno, Sp.KJ, M.Si", Pemprop, 21/06/2017, 024-7604398, tugurejo@jatengprov.go.id, 024-7605297, www.rstugurejo.com, 5,-, 7, 5, 2, 2, 4, 1, 2, 3,  0, 36, 5, 2, 222, 30, 25,-, Ruang, 41 Ruang, 53 Ruang, 80 Ruang, 214 Ruang, 148, 34.351.00 m2, 24.413.00 m2, 445/135 th 2012, 03/12/2012, gubernur jawa tengah, Tetap
RSUD Ibnu Sina Kab. Gresik,3525010,RSU,https://medicalclinic.id/rumah-sakit/daerah/gresik/rsud-ibnu-sina-kab.-gresik.html,  31/12/2013," Jl. Dr. Wahidin Sudirohusodo No.243 B, Gresik", Gresik, 61161, 031-3951239, B," dr. Endang Puspitowati,Sp. THT-KL", Pemkab, 21/06/2017, 031-3955217, rsugresik@yahoo.com, 081 3322 0 33 8, www.rsudibnusinagresik.co.id, 4,-, 6, 3, 2, 1, 3, 3, 3, 3,  1, 22, 4, 1, 239, 31, 11, 88, 21 Ruang, 10 Ruang, 42 Ruang, 67 Ruang, 111 Ruang, 239, 50000 m2, 36200 m2, No.P2T/4/03.23/02/VI/2013, 12/06/2013, Pelayanan Perijinan Terpadu Prov. Jatim., Tetap
RSU Dr M Haulussy Ambon,8171015,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-ambon/rsu-dr-m-haulussy-ambon.html,  22/08/2014, Jl. dr Kayadoe Ambon, Kota Ambon, 97116, 0911 - 344871, B," dr.Justini Pawa, M. Kes", Pemprop, 21/06/2017, 0911 - 353595, rsud_haulussy@yahoo.co.id, 0911 - 344871, -, 3,-, 3, 2, 1, 1, 2, 2, 2, 2,  0, 20, 1, 1, 318, 78, 8, 83, Ruang, 15 Ruang, 33 Ruang, 65 Ruang, 233 Ruang, 167, 21490 m2, 19952 m2, 445/680/Dinkes/2012, 28/09/2012, Dinkes Kota Ambon, Tetap
RSK Mata Regina Eye Center Padang,1371459S,RSK Mata,https://medicalclinic.id/rumah-sakit/daerah/kota-padang/rsk-mata-regina-eye-center-padang.html,  21/09/2012, Jl. H.Agus Salim No 11 A Padang, Kota Padang, 25000, 0751-810456, C," Dr. Ellya Thaher,Sp.M, MKM", Perusahaan, 21/06/2017, 0751-25503, reginacahayainsani@yahoo.co.id, 0751-810456, -,-,-,-,-,-,-,-,-, 7,-,  0, 1,-,-, 7,-, 1, 1, Ruang, Ruang, 2 Ruang, 12 Ruang, 11 Ruang, 12, 543 m2, 855 m2, 002/IORS/BPMPTSP/IX/2015, 28/09/2015, BPM DAN PELAYANAN PERIZINAN TERPADU, Tetap
RSIA PERMATA PERTIWI,3201250,RSIA,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsia-permata-pertiwi.html,  13/06/2017, Jl Mayor Oking No 92A Citeureup, Bogor,-, 0218755433, C, Dr. Afin Diyah Hanung Tyas M, Perusahaan, 21/06/2017,-, rsiapermatapertiwi16@gmail.com,-,-, 1,-,-,-,-,-,-,-,-,-,  0, 4, 2,-,-,-, 1,-, Ruang, Ruang, Ruang, Ruang, Ruang, 4, m2, m2,-, 00/00/0000,-,-
RSU Martha Friska,1275633,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rsu-martha-friska.html,  03/01/2014," Jl. Yos Sudarso Km.6 No. 91,Medan", Kota Medan, 20116, 061 6610610, B," Dr. RPH Siahaan, MHA", Organisasi Sosial, 20/06/2017, 061 6612005, rs_marthafriska@ymail.com, 061 6610910, -, 2,-, 5, 3, 3,-, 3, 2, 1, 3,  1, 22, 1, 1, 201, 26, 4, 13, 4 Ruang, 9 Ruang, 154 Ruang, 36 Ruang, 43 Ruang, 94, 3672 m2, 13549 m2, 440.442.82/1/VI/2016, 11/04/2016, DINAS KESEHATAN PROVINSI SUMATERA UTARA, Perpanjang
RSK Bedah Ropanasuri,1371422,RSK Bedah,https://medicalclinic.id/rumah-sakit/daerah/kota-padang/rsk-bedah-ropanasuri.html,  18/06/2012," Jl. Aur No.8,Padang", Kota Padang, 25114, 0751-31938, C, dr.Thomas Darwin, Organisasi Sosial, 20/06/2017, 0751-25735, rskbropanasuripadang@gmail.com, 085272294760,-,-,-,-, 2,-,-, 1,-,-, 1,  0, 8,-,-, 21,-, 4, 6, 3 Ruang, 2 Ruang, 12 Ruang, 9 Ruang, 8 Ruang, 15, - m2, - m2, 608/Regdit-PSDM/DKK?VII/2013, 24/06/2013, Walikota Padang, Perpanjang
RSU Bhayangkara Kediri,3571031,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kediri/rsu-bhayangkara-kediri.html,  20/06/2017, Jl. Kombes Pol Duryat 17 Kediri, Kota Kediri, 64122, (0354) 671100, B," KOMBES POL Dr. M Mas'udi, Sp.S", POLRI, 20/06/2017, (0354) 683830, rsbhayangkarakediri@gmail.com, (0354) 671100, www.rsbhayangkarakediri.com, 3,-, 3, 2, 3, 1, 2, 2, 2, 2,  0, 11, 3,-, 214, 22, 14, 73, 3 Ruang, 42 Ruang, 38 Ruang, 33 Ruang, 111 Ruang, 209, 12.740 m2, 18.970 m2, P2T/10/03.23/02/X11/2012, 28/12/2017, UNIT PELAYANAN PERIZINAN TERPADU PEMPROV, Tetap
RSU Bhakti Rahayu,5171155,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-denpasar/rsu-bhakti-rahayu.html,  23/04/2016, Jl. Gatot Subroto II /11 Denpasar, Kota Denpasar, 80231, 0361-430270, D, dr. Made Sukanegara, Organisasi Sosial, 20/06/2017, 0361-263371, bhakti_rahayu_dps@yahoo.co.id, 0361430270, www.bhaktirahayu.com, 5,-, 3, 3, 1,-, 2,-, 2, 2,  0, 12, 2,-, 51, 28, 6, 8, Ruang, 7 Ruang, 22 Ruang, 12 Ruang, 27 Ruang, 92, 1.849 m2, 2.054.80 m2, 445704.RS.1.x11.10/DIKES, 01/12/2010, DINAS KESEHATAN KOTA DENPASAR, Sementara
RSU Muhammadiyah Babat,3524047,RSU,https://medicalclinic.id/rumah-sakit/daerah/lamongan/rsu-muhammadiyah-babat.html,  16/06/2017, Jl. KH. Ahmad Dahlan No. 14 Babat, Lamongan, 62271, 0322-451125, Belum ditetapkan," dr. Fara Nur Diana, M.Kes", Swasta/Lainnya, 20/06/2017,-, eresembe@gmail.com, 0322 - 454562, -, 2,-, 2, 1, 1,-, 1, 2, 2, 1,  0, 6, 1,-, 35, 8, 1, 8, Ruang, 7 Ruang, 6 Ruang, 15 Ruang, 21 Ruang, 50, 1422 m2, 1967 m2, 445/3805/Kep/413.212/2015 P.1, 08/10/2015, KEPALA KANTOR PERIJINAN BUPATI LAMONGAN, Tetap
Rumah Sakit Umum Daerah KORPRI Abdul Wahab Sjahran,6472128,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-samarinda/rumah-sakit-umum-daerah-korpri-abdul-wahab-sjahran.html,  28/12/2016, Kesuma Bangsa No 1 B, Kota Samarinda, 75117, 732910, D," dr. Rachim Dinata Marsidi, SpB., M.Kes", Pemprop, 20/06/2017, -, rsudkorpriaws@gmail.com, 085250788899, -, 1,-, 1, 1, 1,-, 1,-,-,-,  0, 5, 1,-,-,-, 4,-, Ruang, Ruang, 2 Ruang, 4 Ruang, 8 Ruang,-, m2, m2, 503/RS-006/102/XI/2016, 10/11/2016, Kepala Dinas Kesehatan Kota Samarinda, Perpanjang
RSUD Sekayu,1606011,RSU,https://medicalclinic.id/rumah-sakit/daerah/musi-banyuasin/rsud-sekayu.html,  23/12/2013, Jl. Kol. Wahid Udin Lingkungan I Kel. Kayuara Kec. Sekayu Kab.Musi Banyuasin, Musi Banyuasin, 30711, 0714-321855, C," dr. Makson Parulian Purba, MARS", Pemkab, 19/06/2017, 0714-321855, rsud.sekayu@yahoo.com, 0714-321855, www.rsud-sekayu.com, 2,-, 5, 3, 1, 1, 1, 1, 2, 2,  1, 27, 2,-, 160, 66, 6, 80, Ruang, 10 Ruang, 20 Ruang, 40 Ruang, 131 Ruang, 110, 11206.678 m2, 18458 m2, 203/KPTS-DINKES/2017, 13/02/2017, Bupati Musi Banyuasin, Perpanjang
RSUD Karawang,3215012,RSU,https://medicalclinic.id/rumah-sakit/daerah/karawang/rsud-karawang.html,  17/04/2013," Jl. Galuh Mas Raya No.1,Sukaharja,Teluk Jambe,Karawang", Karawang, 41361, 0267-640444, B," Dr. Asep Hidayat Lukman, MM", Pemkab, 19/06/2017, 0267-640666, rsudkrw@yahoo.co.id, 0267-640555, rsudkarawang.id, 5,-, 5, 4, 2, 1, 3, 2, 2, 2,  2, 28, 3, 1, 370, 80, 10, 74, Ruang, 12 Ruang, 36 Ruang, 82 Ruang, 167 Ruang, 271, 68400 m2, 38000 m2, 445.1/Kep.III/041030/BPMPT/2016, 27/12/2016, BPMPT, Perpanjang
RSUD Dr Achmad Diponegoro,6108011,RSU,https://medicalclinic.id/rumah-sakit/daerah/kapuas-hulu/rsud-dr-achmad-diponegoro.html,  10/10/2013, Jl. Kom Yos Sudarso No.42 Putussibau, Kapuas Hulu, 78711, (0567)22855, C," dr.Dewi Widyasari,Sp.Rad", Pemkab, 19/06/2017, (0567) 22855, rsud.adp42@gmail.com, -, -, 3,-, 1,-, 1,-, 1,-,-,-,  0, 5, 1,-, 115, 15, 5, 33, Ruang, 8 Ruang, 10 Ruang, 26 Ruang, 58 Ruang, 47, 2.5000 m2, 7.333 m2, 440/646.a.DINKES/Y.KES-A/2010, 03/05/2010, DINAS KESEHATAN KABUPATEN KAPUAS HULU, Tetap
RSUD Bumiayu,3329102,RSU,https://medicalclinic.id/rumah-sakit/daerah/brebes/rsud-bumiayu.html,  12/12/2015, Jl. KH. Ahmad Dahlan KM.01 Bumiayu, Brebes, 52273, (0289) 432347, D, dr. Ali Budiarto, Pemkab, 19/06/2017, (0289) 430014, rsud.bumiayu@yahoo.com, (0289) 430004, -, 1,-, 1, 1,-,-,-,-,-,-,  1, 10, 1,-, 45, 15, 4, 12, Ruang, Ruang, 2 Ruang, 14 Ruang, 26 Ruang, 61, 9.990 m2," 2.299,5 m2", 503.10/kppt/629/X/2011, 06/03/2014, KANTOR PELAYANAN TERPADU, Sementara
RSU ROYAL PRIMA,1275907,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-medan/rsu-royal-prima.html,  28/01/2015, JL. AYAHANDA NO 68A MEDAN - SUMATERA UTARA, Kota Medan, 20118," (061) 88813182,", B," dr. Ali Napiah Nst, MKT", Organisasi Sosial, 18/06/2017, (061)-80013181, contact@royalprima.com," (061) 88813182,", www.royalprima.com, 11,0, 7, 4, 2,-, 7, 4, 3, 6,  2, 25, 4, 1, 86, 21, 8, 25, 14 Ruang, 42 Ruang, 34 Ruang, 45 Ruang, 40 Ruang, 69, 1.980 m2, 9.080 m2, 440.442/25669/XII/2014, 18/12/2014, KEPALA DINAS KESEHATAN PROVINSI SUMATERA, Tetap
RSUD Datu Beru Takengon,1106013,RSU,https://medicalclinic.id/rumah-sakit/daerah/aceh-tengah/rsud-datu-beru-takengon.html,  02/07/2013, Jl. Rumah Sakit No.153 Kec. Kebayakan, Aceh Tengah, 24551, 0643-21126, B," dr. Hardi Yanis,Sp.PD", Pemkab, 17/06/2017, 0643-21396, datuberutakengon@yahoo.co.id, 081376041193, www.rsudb.acehtengahkab.go.id, 2,-, 3, 2, 2,-, 2,-, 1, 2,  2, 22, 3, 1, 276, 64, 3, 82, Ruang, Ruang, 50 Ruang, 18 Ruang, 172 Ruang, 165, 32.820 m2, 9971 m2, 445.1/BP2T/1427/2013, 08/04/2013, BP2T, Tetap
RSUD Tabanan,5102010,RSU,https://medicalclinic.id/rumah-sakit/daerah/tabanan/rsud-tabanan.html,  16/03/2012, Jl. Pahlawan No. 14 Tabanan, Tabanan, 82100, 0361-811027, B," dr. I Nyoman Susila, M.Kes.", Pemkab, 17/06/2017, 0361-811202, diklat_brsu@yahoo.com, 0361-811027-241, www//brsu.tabanankab.go.id, 3,-, 7, 2, 3, 1, 5, 3, 2, 2,  0, 33, 7, 1, 376, 15, 8, 88, 4 Ruang, 49 Ruang, 24 Ruang, 41 Ruang, 70 Ruang, 237, 16.325 m2," 8194,10 m2", 440/12202.6/BPMP, 10/08/2016, BADAN PENANAMAN MODAL DAN PERIZINAN, Tetap
RS Jiwa Mutiara Sukma,5271054,RS Jiwa,https://medicalclinic.id/rumah-sakit/daerah/kota-mataram/rs-jiwa-mutiara-sukma.html,  31/12/2013," Jl. A Yani no. 1 Selagalas Cakranegara, Mataram", Kota Mataram, 83237, 0370-672140, B," Dr. Elly Rosila Wijaya, Sp.KJ. MM", Pemprop, 17/06/2017, 0370-671515, rsjmutiarasukma@gmail.com, 0370-672140, www.rsjmutiarasukma.ntbprov.go.id, 1,-, 1,-, 1,-,-,-,-,-,  5, 17, 1,-, 94,-, 4, 48, Ruang, Ruang, 5 Ruang, 25 Ruang, 70 Ruang, 26, 60.000 m2," 17.849,25 m2", 445-83 Tahun 2014, 29/01/2014, Gubernur Nusa Tenggara Barat, Tetap
RSU Citra Husada,1109029S,RSU,https://medicalclinic.id/rumah-sakit/daerah/pidie/rsu-citra-husada.html,  16/06/2015, Jl. Prof. A. Majid Ibrahim Lampeudeu Baroh Tijue, Pidie, 24151, 0653-7829679, Belum ditetapkan," dr. Juliana, Sp.Ak", Perusahaan, 17/06/2017, 0653-7829678, citrahusadahospital@yahoo.com, 0653-7829679,-, 3,-, 1, 3, 1,-, 2,-, 1, 1,  1, 7, 3,-, 21, 4, 2, 16, 3 Ruang, 3 Ruang, 7 Ruang, 22 Ruang, 32 Ruang, 31, 3864 m2, 1130 m2, 002/KPPTSP/VI/2014, 16/06/2014, KPPTSP, Tetap
